,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
0,Casa Del Amor - VI,Victoria Island,"Victoria Island, Lagos - Oniru, Victoria Island","₦20,000",Apartment,268,NA,NA
1,Kitex Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 45 Jay Jay Oladimeji Off Freedom Way, Lekki Ph...","₦100,000",Apartment,38,NA,NA
2,Ibis Lagos Airport,Ajao Estate,"Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road","₦30,000",Hotel,31079,NA,NA
3,Adun Suites,Gbagada ,"Gbagada , Lagos - 9, Igbeyinadun Street Off Oguntona Crescent, Charl...","₦25,000",Hotel,107,NA,NA
4,Hotel Ibis Lagos Ikeja,Ikeja,"Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos","₦41,000",Hotel,25215,NA,NA
5,"The Cocoon Luxury Suites, Ogudu",Ogudu,"Ogudu, Lagos - 2B, Adebayo Ogunrombi Close Off Ogudu Road, Ogudu","₦25,000",Hotel,120,NA,NA
6,"The Moorhouse Hotel, Ikoyi",Ikoyi,"Ikoyi, Lagos - 1 Bankole Oki Street","₦56,000",Luxury Hotel,1234,7.2 Very Good,From 2 reviews
7,Beni Apartments,Victoria Island,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell","₦17,000",Hotel,15338,7.4 Very Good,From 145 reviews
8,Beni Hotels,Lagos Island,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street","₦12,000",Hotel,11051,7.3 Very Good,From 61 reviews
9,The Agore Hotels Ltd (Formerly Nowoola Palace Hotels And Suites), Ibeju Lekki," Ibeju Lekki, Lagos -  5, Nancy Nowoola Street, Behind Uba Pharmacy, Awo...","₦12,500",Hotel,436,NA,NA
10,Choice Suites (Formerly Chantella Suites),Ikeja,"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By D...","₦13,000",Budget Hotel,10376,7.4 Very Good,From 40 reviews
11,Extended Stay Grand Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian ...","₦20,000",Hotel,8817,7.7 Very Good,From 40 reviews
12,Axor Hotels And Suites,Lekki,"Lekki, Lagos - Plot 16/17 Sule Olusesi Road, Beside Conservation ...","₦23,000",Boutique Hotel,2227,NA,NA
13,Beni Gold Hotel And Apartments,Victoria Island,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Isl...","₦30,000",Hotel,17663,7.8 Very Good,From 351 reviews
14,The Cocoon Luxury Suites Ilupeju,Ilupeju,"Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju","₦18,000",Hotel,2662,NA,NA
15,Presken Hotel And Suites (Mojidi),Ikeja,"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603...","₦20,000",Hotel,5138,7.0 Very Good,From 23 reviews
16,Whispering Palms Resort,Badagry,"Badagry, Lagos - Iworo","₦27,000",Resort,2604,NA,NA
17,DEMEG HOTEL AND SUITES,Ipaja,"Ipaja, Lagos - 2/2B Bola Sanyaolu Close, Akinyele Bustop, Ipaja","₦14,500",Hotel,134,NA,NA
18,Double M Exquisite Suites And Lounge,Lekki,"Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lek...","₦25,000",Hotel,3873,NA,NA
19,Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),Victoria Island,"Victoria Island, Lagos - 204B, Etim Inyang Crecsent","₦10,000",Hotel,1991,6.7 Very Good,From 29 reviews
20,Demiral Hotel At The Place Lekki,Lekki,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way","₦20,000",Hotel,5454,7.2 Very Good,From 30 reviews
21,Integrity Hotel And Suites, Victoria Island," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off A...","₦15,999",Hotel,6682,6.3 Very Good,From 29 reviews
22,CitiHeight Hotel,Ikeja,"Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road","₦26,500",Hotel,4970,NA,NA
23,Eko Hotel ,Victoria Island,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street","₦67,000",Luxury Hotel,5173,7.5 Very Good,From 35 reviews
24,Presken Hotel And Suites (Awolowo),Ikeja,"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round Abou...","₦20,000",Budget Hotel,4650,7.3 Very Good,From 24 reviews
